Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Vecindario],Precio [Vecindario],En inventario [Vecindario],Existencias bajas [Vecindario],"modificador - ""Hamburguesas""","modificador - ""Icono""","modificador - ""Tebana""","modificador - ""Wendlandt""","modificador - ""Caudillo""","modificador - ""Cuatro palos""","modificador - ""Hamburguesa Vecindario""","modificador - ""Hamburguesa Teopanzolco""","modificador - ""Tiras empanizadas""","modificador - ""Ayinger""","modificador - ""Pilsner Urquel""","modificador - ""Bruer""","modificador - ""Punto Rojo""","modificador - ""Rámuri""","modificador - ""Volfas""","modificador - ""Moldova""","modificador - ""Chato""","modificador - ""Aquelarre""","modificador - ""Etienne""","modificador - ""Mac and Cheese""","modificador - ""Ensalada primavera""","modificador - ""Pizza""","modificador - ""Chicatana""","modificador - ""ABK""","modificador - ""Oveja Mística""","modificador - ""Nuevo Imperio""","modificador - ""Nómada""","modificador - ""tocino extra""","modificador - ""Perruchona""","modificador - ""St. Peter's""","modificador - ""Knee Deep""","modificador - ""Alesmith""","modificador - ""De Halve Maan""","modificador - ""Insurgente""","modificador - ""Vecindario""","modificador - ""Principia""","modificador - ""Pizza calabaza""","modificador - ""Cardera""","modificador - ""Ensalada caprese""","modificador - ""Farland""","modificador - ""Dos Aves""","modificador - ""Buqui Bichi""","modificador - ""Straffe Hendrik""","modificador - ""Santa Sabina""","modificador - ""Madueño""","modificador - ""Sacro""","modificador - ""Copete de Hueso""","modificador - ""Con Chicharrón""","modificador - ""Chaneque""","modificador - ""Arrachera""","modificador - ""Monkey Waves""","modificador - ""Crepa""","modificador - ""Guacamole""","modificador - ""Bichola""","modificador - ""Sierra Nevada""","modificador - ""Hercules""","modificador - ""Ludica"""
cuatro-palos---apóstol-(american-lager),10031,Cuatro Palos - Apóstol (American Lager),Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,98.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cuatro-palos---good-day-2,10029,Cuatro Palos - Good Day,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,98.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cuatro-palos---happy-hazy-day-2,10032,Cuatro Palos - Happy Hazy Day,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,110.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cuatro-palos---sierra-gorda-(irish-extra-stout)-2,10030,Cuatro Palos - Sierra Gorda (Irish Extra Stout),Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,98.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cuatro-palos---surfen-helles-2,10028,Cuatro Palos - Surfen Helles,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,98.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cuatro-palos---verano-forever-2,10027,Cuatro Palos - Verano Forever,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,98.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cyprez---hidromiel-2,10060,Cyprez - Hidromiel,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,120.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cyprez-session-india-pale-lager-(lata)-12-oz-2,38,Cyprez Session India Pale Lager (Lata) 12 oz,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,110.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cyprez-stout-(lata)-16-oz-2,39,Cyprez Stout (Lata) 16 oz,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,120.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
d´achouffe---cherry-chouffe,10227,D´Achouffe - Cherry Chouffe,Lata/Botella,,N,,,,,,,110.00,,,,Y,Y,198.00,4.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
d´achouffe---houblon-chouffe,10228,D´Achouffe - Houblon Chouffe,Lata/Botella,,N,,,,,,,100.00,,,,Y,Y,182.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
d´achouffe---la-chouffe,10224,D´Achouffe - La Chouffe,Lata/Botella,,N,,,,,,,109.00,,,,Y,Y,196.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
d´achouffe---mc-chouffe,10225,D´Achouffe - Mc Chouffe,Lata/Botella,,N,,,,,,,100.00,,,,Y,Y,182.00,3.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
chouffe-ipa,10959,D' Achouffe IPA,Lata/Botella,,N,,,,,,,109.00,,,,Y,Y,196.00,2.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
de-dolle---arabier-2,10230,De Dolle - Arabier,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,185.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
de-dolle---oerbier-2,10231,De Dolle - Oerbier,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,185.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
de-garre-tripel,10943,De Garre Tripel,Lata/Botella,,N,,,,,,,120.00,,,,Y,Y,211.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
de-molen-hel-&-verdoemenis-2,10336,De Molen Hel & Verdoemenis,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,157.00,0.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
de-ranke-noir-de-dottignies,11223,De Ranke Noir de Dottignies,Lata/Botella,,N,,,,,,,95.05,,,,Y,Y,174.00,2.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
de-struise---black-albert-2,10235,De Struise - Black Albert,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,312.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
de-struise---pannepeut-330-ml-botella-2,10168,De Struise - Pannepeut 330 ml botella,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,172.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
del-llano---xantolo-2,10296,Del Llano - Xantolo,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,160.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
del-llano-heidrun-freydis,10639,Del Llano Heidrun Freydis,Lata/Botella,,N,,,,,,,66.00,,,,Y,Y,125.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
del-llano-heidrun-leif,10638,Del Llano Heidrun Leif,Lata/Botella,,N,,,,,,,66.00,,,,Y,Y,125.00,4.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
del-llano-heidrun-vidar,10845,Del Llano Heidrun Vidar,Lata/Botella,,N,,,,,,,66.00,,,,Y,Y,125.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
del-llano-rufina,10948,Del Llano Rufina,Lata/Botella,,N,,,,,,,116.00,,,,Y,Y,206.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
delirium---argentum-2,10052,Delirium - Argentum,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,190.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
delirium-deliria,10917,Delirium Deliria,Lata/Botella,,N,,,,,,,300.00,,,,Y,Y,585.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
delirium-nocturnum-330-ml-2,83,Delirium Nocturnum 330 ml,Lata/Botella,,N,,,,,,,121.00,,,,Y,Y,213.00,4.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
delirium-red-330-ml-2,84,Delirium Red 330 ml,Lata/Botella,,N,,,,,,,121.00,,,,Y,Y,213.00,6.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
delirium-tremens-330-ml-2,82,Delirium Tremens 330 ml,Lata/Botella,,N,,,,,,,121.00,,,,Y,Y,213.00,4.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dos-aves-arpía-355-ml,26,Dos Aves Arpía 355 ml,Lata/Botella,,N,,,,,,,57.00,,,,Y,Y,108.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dos-aves-baco-&-ceres-355-ml-2,22,Dos Aves Baco & Ceres 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,150.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dos-aves-carraca-355-ml-2,23,Dos Aves Carraca 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,102.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dos-aves-garra-daga-355-ml-2,27,Dos Aves Garra Daga 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,102.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dos-aves-hoppy-lager,11007,Dos Aves Hoppy Lager,Lata/Botella,,N,,,,,,,53.00,,,,Y,Y,101.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dos-aves-lechuza-355-ml-2,21,Dos Aves Lechuza 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,103.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dos-aves-picozapato-355-ml-2,25,Dos Aves Picozapato 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,102.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dos-aves-pizco,11008,Dos Aves Pizco,Lata/Botella,,N,,,,,,,53.00,,,,Y,Y,101.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dos-aves-turaca-355-ml-2,24,Dos Aves Turaca 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,102.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
duchesse---cherry-2,10229,Duchesse - Cherry,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,185.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
duchesse---chocolate-cherry-2,10232,Duchesse - Chocolate Cherry,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,196.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
duchesse-de-bourgogne,10584,Duchesse de Bourgogne,Lata/Botella,,N,,,,,,,90.20,,,,Y,Y,166.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
duchesse-red,11214,Duchesse Red,Lata/Botella,,N,,,,,,,101.84,,,,Y,Y,185.00,5.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
duff-beer,10685,Duff Beer,Lata/Botella,,N,,,,,,,45.00,,,,Y,Y,86.00,6.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dulle-teve,11222,Dulle Teve,Lata/Botella,,N,,,,,,,111.55,,,,Y,Y,200.00,5.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
duvel---330ml-2,10226,Duvel - 330ml,Lata/Botella,,N,,,,,,,105.00,,,,Y,Y,190.00,2.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
duvel---750ml-botella-grande-2,10233,Duvel - 750ml Botella Grande,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,355.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
duvel---tripel-hop-2,10080,Duvel - Tripel Hop,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,181.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
duvel-barrel-aged-750ml,11253,Duvel Barrel Aged 750ml,Lata/Botella,,N,,,,,,,660.00,,,,Y,Y,990.00,2.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
enroque-guarda,11148,Enroque Guarda,Lata/Botella,,N,,,,,,,150.00,,,,Y,Y,253.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
enroque-mead-2,10044,Enroque Mead,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,150.00,12.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
eppig-eagle-rider,10877,Eppig Eagle Rider,Lata/Botella,,N,,,,,,,120.27,,,,Y,Y,212.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
eppig-talons-of-fury,10878,Eppig Talons of Fury,Lata/Botella,,N,,,,,,,120.27,,,,Y,Y,212.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium---400x-2,10057,Equilibrium - 400x,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,185.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium---astronomical-twilight-2,10325,Equilibrium - Astronomical Twilight,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,216.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium---energy-is-frozen-2,10321,Equilibrium - Energy is Frozen,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,213.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium---moksamarga-2,10058,Equilibrium - Moksamarga,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,205.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium---wavelength-2,10322,Equilibrium - Wavelength,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,216.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-advanced-science-of-cataclys,10906,Equilibrium Advanced Science of Cataclys,Lata/Botella,,N,,,,,,,149.00,,,,Y,Y,252.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-all-wise-2,10372,Equilibrium All Wise,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,681.00,0.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-caramel-coconut-fluffernutter,10964,Equilibrium Caramel Coconut Fluffernutter,Lata/Botella,,N,,,,,,,455.90,,,,Y,Y,695.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-chaos-theory,10907,Equilibrium Chaos Theory,Lata/Botella,,N,,,,,,,121.24,,,,Y,Y,213.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-coco-cream-coffee-frappe,11228,Equilibrium Coco Cream Coffee Frappe,Lata/Botella,,N,,,,,,,407.40,,,,Y,Y,625.00,1.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-dhop50,10908,Equilibrium dHop50,Lata/Botella,,N,,,,,,,149.00,,,,Y,Y,252.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-double-banana-fall-from-grace,11227,Equilibrium Double Banana Fall From Grace,Lata/Botella,,N,,,,,,,514.09,,,,Y,Y,771.00,1.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-emcee,10961,Equilibrium eMCee,Lata/Botella,,N,,,,,,,125.00,,,,Y,Y,218.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-emperor's-marshmelatonin,10965,Equilibrium Emperor's Marshmelatonin,Lata/Botella,,N,,,,,,,455.90,,,,Y,Y,695.00,1.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
equilibrium-epsilon,10491,Equilibrium Epsilon,Lata/Botella,,N,,,,,,,115.00,,,,Y,Y,205.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
